velocity,relative_power,axis
100.0,128352014.44579406,x
110.0,125627508.7775402,x
120.0,128480188.55197951,x
130.0,130319935.9932058,x
140.0,133245590.3421018,x
150.0,137898168.44968012,x
160.0,133910389.7253358,x
170.0,132141814.96623835,x
180.0,131002894.29702082,x
190.0,172898172.35847574,x
200.0,250994085.32825065,x
210.0,180585877.78000143,x
220.0,188124335.472233,x
230.0,172691884.5489834,x
240.0,182096318.38890573,x
250.0,1146030744.0908024,x
260.0,2126883669.8085263,x
270.0,1949802285.389957,x
280.0,2275799851.243283,x
290.0,1675835792.936632,x
300.0,1728828721.7187319,x
