velocity,relative_power,axis
100.0,139161229.06735107,a
110.0,139052793.0757503,a
120.0,139084514.89651468,a
130.0,133638481.95416827,a
140.0,138146779.63833982,a
150.0,131469086.16783325,a
160.0,133937494.9078014,a
170.0,132101865.35870968,a
180.0,134911072.29737008,a
190.0,130549880.92033766,a
200.0,136610285.7035489,a
210.0,134814107.49098045,a
220.0,138718547.97494888,a
230.0,144294317.41874647,a
240.0,150405668.2324655,a
250.0,152538896.70064613,a
260.0,166993234.9515846,a
270.0,160803109.09325355,a
280.0,194750051.4934284,a
290.0,179853878.9704711,a
300.0,191991066.6501806,a
