velocity,relative_power,axis
100.0,137677665.618083,y
110.0,137378263.8302693,y
120.0,137433402.17008552,y
130.0,149372350.24570483,y
140.0,144694954.43896645,y
150.0,150951773.616692,y
160.0,147004773.12404883,y
170.0,161730530.86429092,y
180.0,218614508.79564455,y
190.0,187619309.50922063,y
200.0,261374344.1726898,y
210.0,270820972.70922595,y
220.0,200974437.21525255,y
230.0,156316124.9083918,y
240.0,576193515.0055407,y
250.0,557845247.8975575,y
260.0,1169262452.2598207,y
270.0,1212891982.750815,y
280.0,1379650917.2282865,y
290.0,1097225642.6179361,y
300.0,1238214022.1308994,y
